Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
26.7,34.0,0.0,1012.7,18,270.0,2025-05-16 17:00:00
26.1,36.0,0.0,1012.5,21,270.0,2025-05-16 18:00:00
25.2,38.0,0.0,1012.2,21,270.0,2025-05-16 19:00:00
24.1,38.0,0.0,1012.2,18,270.0,2025-05-16 20:00:00
22.8,40.0,0.0,1012.3,18,270.0,2025-05-16 21:00:00
21.1,46.0,0.0,1012.4,12,270.0,2025-05-16 22:00:00
20.2,50.0,0.0,1013.0,10,315.0,2025-05-16 23:00:00
19.5,53.0,0.0,1013.2,9,315.0,2025-05-17 00:00:00
19.6,58.0,0.0,1013.0,9,0.0,2025-05-17 01:00:00
18.3,63.0,0.0,1012.5,10,0.0,2025-05-17 02:00:00
17.6,66.0,0.0,1012.0,12,0.0,2025-05-17 03:00:00
17.0,65.0,0.0,1011.3,11,0.0,2025-05-17 04:00:00
15.9,69.0,0.0,1011.0,5,0.0,2025-05-17 05:00:00
15.9,71.0,0.0,1010.8,6,0.0,2025-05-17 06:00:00
15.6,73.0,0.0,1011.1,3,0.0,2025-05-17 07:00:00
15.2,76.0,0.0,1011.3,5,45.0,2025-05-17 08:00:00
17.0,73.0,0.0,1011.4,4,90.0,2025-05-17 09:00:00
20.3,60.0,0.0,1011.7,9,90.0,2025-05-17 10:00:00
24.1,44.0,0.0,1011.5,9,135.0,2025-05-17 11:00:00
25.9,41.0,0.0,1011.4,7,180.0,2025-05-17 12:00:00
26.9,37.0,0.0,1011.0,8,180.0,2025-05-17 13:00:00
27.9,36.0,0.0,1010.7,15,180.0,2025-05-17 14:00:00
27.2,36.0,0.0,1010.4,17,180.0,2025-05-17 15:00:00
28.3,32.0,0.0,1010.1,16,180.0,2025-05-17 16:00:00
