Temperatura (ºC),Humedad (%),Precipitación (mm),Presión (hPa),Velocidad del viento (km/h),Dirección del viento,datetime
24.2,52.0,0.0,1002.5,6,270.0,2025-05-16 19:00:00
22.8,52.0,0.0,1002.2,7,270.0,2025-05-16 20:00:00
22.1,56.0,0.0,1002.0,5,270.0,2025-05-16 21:00:00
19.6,64.0,0.0,1002.2,0,225.0,2025-05-16 22:00:00
17.6,73.0,0.0,1002.6,3,180.0,2025-05-16 23:00:00
16.7,77.0,0.0,1002.5,0,135.0,2025-05-17 00:00:00
16.3,68.0,0.0,1002.3,4,90.0,2025-05-17 01:00:00
16.1,62.0,0.0,1001.9,9,90.0,2025-05-17 02:00:00
15.5,63.0,0.0,1001.4,12,90.0,2025-05-17 03:00:00
14.5,72.0,0.0,1001.0,5,90.0,2025-05-17 04:00:00
14.5,64.0,0.0,1000.6,9,90.0,2025-05-17 05:00:00
14.5,66.0,0.0,1000.3,10,90.0,2025-05-17 06:00:00
14.1,70.0,0.0,1000.2,8,90.0,2025-05-17 07:00:00
14.2,72.0,0.0,1000.4,5,90.0,2025-05-17 08:00:00
15.2,72.0,0.0,1000.5,8,90.0,2025-05-17 09:00:00
16.9,77.0,0.0,1000.5,0,180.0,2025-05-17 10:00:00
19.7,74.0,0.0,1000.4,2,270.0,2025-05-17 11:00:00
22.8,62.0,0.0,1000.2,4,270.0,2025-05-17 12:00:00
25.1,53.0,0.0,999.9,5,270.0,2025-05-17 13:00:00
26.9,39.0,0.0,999.5,6,270.0,2025-05-17 14:00:00
28.2,36.0,0.0,999.1,5,270.0,2025-05-17 15:00:00
28.3,39.0,0.0,998.8,10,270.0,2025-05-17 16:00:00
25.9,47.0,0.0,998.6,9,270.0,2025-05-17 17:00:00
24.7,54.0,0.0,998.5,5,270.0,2025-05-17 18:00:00
