time_s,x,y
0.3145,0,0
0.5088,3,2
0.5559,18,13
0.6008,59,44
0.6492,136,100
0.6963,239,173
0.7441,340,248
0.7898,417,306
0.8386,467,341
0.8872,492,359
0.9366,499,365
0.9832,496,364
1.0321,483,355
1.0824,467,347
1.1318,452,336
1.1792,436,327
1.2265,422,317
1.2727,413,301
1.3226,404,291
1.3713,393,289
1.4204,389,284
1.4795,385,281
1.5321,383,281
1.5833,384,279
1.6314,386,278
1.6836,386,280
1.7340,383,282
1.7831,384,282
1.8344,387,281
1.8831,386,284
1.9306,385,285
1.9770,385,286
2.0234,386,284
2.0718,387,284
2.1196,387,285
2.1655,381,286
2.2132,380,283
2.2587,379,283
2.3041,378,281
2.3528,378,283
2.4061,379,281
2.4579,380,282
2.5058,379,282
2.5522,378,282
2.5984,378,282
2.6480,378,281
2.6952,379,281
2.7451,378,281
2.7902,380,282
2.8365,384,278
2.8835,384,279
2.9317,384,280
2.9768,384,281
3.0238,385,283
3.0701,387,284
3.1164,387,282
3.1647,387,283
3.2136,386,283
3.2600,387,283
3.3061,386,283
3.3583,387,282
3.4061,388,283
3.4544,388,282
3.5038,391,283
3.5518,394,285
3.6002,395,287
3.6462,396,287
3.6929,396,288
3.7414,397,288
3.7892,399,289
3.8354,400,293
3.8821,405,293
3.9268,410,293
3.9734,415,293
4.0187,418,293
4.0682,421,293
4.1145,423,293
4.1635,424,294
4.2100,426,295
4.2611,428,296
4.3103,430,296
4.3585,429,296
4.4103,428,298
4.4604,427,298
4.5116,424,297
4.5603,422,295
4.6060,417,291
4.6548,414,290
4.7037,411,288
4.7523,408,288
4.7998,399,286
4.8492,394,283
4.8986,389,282
4.9478,383,282
4.9954,384,279
5.0231,380,279
5.0729,376,277
5.1214,373,277
5.1708,368,275
5.2177,361,273
5.2690,358,273
5.3186,356,273
5.3689,353,270
5.4154,352,270
5.4628,351,270
5.5133,352,272
5.5611,353,275
5.6107,354,274
5.6591,354,276
5.7074,355,279
5.7575,357,278
5.8029,360,273
5.8507,365,275
5.8967,372,276
5.9429,377,279
5.9912,380,283
6.0401,383,285
6.0871,386,285
6.1351,392,287
6.1824,396,289
6.2278,399,290
6.2802,401,292
6.3276,402,292
6.3790,404,293
6.4285,407,294
6.4767,410,293
6.5236,415,293
6.5699,416,291
6.6266,419,292
6.6836,420,293
6.7322,420,294
6.7828,419,291
6.8292,418,292
6.8763,416,294
6.9244,413,294
6.9712,412,291
7.0184,410,290
7.0682,398,291
7.1155,389,286
7.1634,384,284
7.2109,379,283
7.2590,375,281
7.3070,373,278
7.3600,370,276
7.4112,363,275
7.4644,358,273
7.5151,355,273
7.5727,351,272
7.6236,347,270
7.6837,344,271
7.7379,343,272
7.7895,340,276
7.8445,340,278
7.8986,341,283
7.9508,342,281
8.0048,344,281
8.0561,344,279
8.1111,345,274
8.1660,347,274
8.2210,350,273
8.2773,354,276
8.3308,357,275
8.3828,359,274
8.4385,362,275
8.4958,364,278
8.5485,366,281
8.6109,366,281
8.6711,365,281
8.7301,364,281
8.7994,363,279
8.8509,363,279
8.9058,362,280
8.9592,362,282
9.0160,361,282
9.0695,360,281
9.1231,361,279
9.1773,359,282
9.2330,359,285
